STATE,CITY,natural_disaster_score
ALABAMA,Concord,17
ALABAMA,Coosada,19
ALABAMA,Cordova,21
ALABAMA,Cottondale,20
ALABAMA,Cottonwood,22
ALABAMA,County Line,17
ALABAMA,Courtland,17
ALABAMA,Cowarts,19
ALABAMA,Creola,17
ALABAMA,Crossville,17
ALABAMA,Cullman,21
ALABAMA,Cusseta,19
ALABAMA,Dadeville,21
ALABAMA,Daleville,22
ALABAMA,Daphne,22
ALABAMA,Dauphin Island,21
ALABAMA,Daviston,22
ALABAMA,Deatsville,19
ALABAMA,Decatur,16
ALABAMA,Deer Park,21
ALABAMA,Dodge City,20
ALABAMA,Dora,20
ALABAMA,Dothan,17
ALABAMA,Douglas,22
ALABAMA,Dunnavant,20
ALABAMA,Dutton,17
ALABAMA,Eagle Point,16
ALABAMA,East Brewton,19
ALABAMA,East Point,19
ALABAMA,Eclectic,19
ALABAMA,Edgewater,20
ALABAMA,Egypt,16
ALABAMA,Elba,20
ALABAMA,Elberta,22
ALABAMA,Eldridge,20
ALABAMA,Elkmont,16
ALABAMA,Elmore,16
ALABAMA,Emerald Mountain,22
ALABAMA,Enterprise,16
ALABAMA,Equality,16
ALABAMA,Ethelsville,19
ALABAMA,Eufaula,22
ALABAMA,Eunola,18
ALABAMA,Eutaw,18
ALABAMA,Eva,16
ALABAMA,Fairfield,18
ALABAMA,Fairhope,18
ALABAMA,Fairview,16
ALABAMA,Falkville,18
ALABAMA,Fayetteville,20
ALABAMA,Five Points,17
ALABAMA,Flomaton,22
ALABAMA,Florence,17
ALABAMA,Foley,16
ALABAMA,Forestdale,19
ALABAMA,Forkland,22
ALABAMA,Fort Deposit,16
ALABAMA,Fort Payne,19
ALABAMA,Fredonia,17
ALABAMA,Fruitdale,16
ALABAMA,Fultondale,22
ALABAMA,Fyffe,22
ALABAMA,Gadsden,21
ALABAMA,Gallant,20
ALABAMA,Garden City,18
ALABAMA,Gardendale,19
ALABAMA,Geneva,21
ALABAMA,Geraldine,18
ALABAMA,Glencoe,18
ALABAMA,Goldville,16
ALABAMA,Good Hope,18
ALABAMA,Goodwater,20
ALABAMA,Gordo,22
ALABAMA,Gordon,21
ALABAMA,Goshen,18
ALABAMA,Grand Bay,16
ALABAMA,Grant,20
ALABAMA,Grayson Valley,17
ALABAMA,Graysville,22
ALABAMA,Greensboro,22
ALABAMA,Grimes,21
ALABAMA,Gulf Shores,22
ALABAMA,Gulfcrest,18
ALABAMA,Guntersville,16
ALABAMA,Gurley,22
ALABAMA,Hackneyville,22
ALABAMA,Haleburg,17
ALABAMA,Hammondville,17
ALABAMA,Hanceville,19
ALABAMA,Hanover,20
ALABAMA,Harpersville,18
ALABAMA,Hartford,22
ALABAMA,Hartselle,22
ALABAMA,Harvest,16
ALABAMA,Hatton,19
ALABAMA,Hayden,20
ALABAMA,Hayneville,19
ALABAMA,Hazel Green,21
ALABAMA,Headland,20
ALABAMA,Helena,22
ALABAMA,Henagar,22
ALABAMA,Highland Lake,20
ALABAMA,Highland Lakes,22
ALABAMA,Hillsboro,18
ALABAMA,Hissop,20
ALABAMA,Hobson,19
ALABAMA,Hobson City,20
ALABAMA,Hokes Bluff,22
ALABAMA,Holly Pond,18
ALABAMA,Hollywood,18
ALABAMA,Holt,21
ALABAMA,Holtville,19
ALABAMA,Homewood,17
ALABAMA,Hoover,17
ALABAMA,Hueytown,20
ALABAMA,Huguley,21
ALABAMA,Huntsville,16
ALABAMA,Hytop,20
ALABAMA,Ider,21
ALABAMA,Indian Springs Village,19
ALABAMA,Irondale,19
ALABAMA,Ivalee,19
ALABAMA,Jacksons' Gap,19
ALABAMA,Jacksonville,19
ALABAMA,Jasper,21
ALABAMA,Jemison,21
ALABAMA,Joppa,18
ALABAMA,Kansas,17
ALABAMA,Kellyton,22
ALABAMA,Killen,19
ALABAMA,Kimberly,16
ALABAMA,Kinsey,22
ALABAMA,Kinston,21
ALABAMA,La Fayette,16
ALABAMA,Lake View,16
ALABAMA,Lakeview,16
ALABAMA,Lanett,18
ALABAMA,Langston,21
ALABAMA,Leeds,16
ALABAMA,Leighton,19
ALABAMA,Leroy,20
ALABAMA,Lester,16
ALABAMA,Level Plains,18
ALABAMA,Lexington,22
ALABAMA,Lillian,21
ALABAMA,Lincoln,18
ALABAMA,Lipscomb,16
ALABAMA,Littleville,21
ALABAMA,Loachapoka,20
ALABAMA,Locust Fork,16
ALABAMA,Lookout Mountain,18
ALABAMA,Louisville,17
ALABAMA,Lowndesboro,19
ALABAMA,Loxley,22
ALABAMA,Macedonia,18
ALABAMA,Madison,21
ALABAMA,Madrid,16
ALABAMA,Magnolia Springs,19
ALABAMA,Malvern,16
ALABAMA,Maplesville,21
ALABAMA,Marbury,16
ALABAMA,Margaret,17
ALABAMA,Maytown,19
ALABAMA,Mccalla,19
ALABAMA,Mcdonald Chapel,21
ALABAMA,Mcintosh,22
ALABAMA,Meadowbrook,17
ALABAMA,Mentone,18
ALABAMA,Meridianville,16
ALABAMA,Midfield,20
ALABAMA,Midland City,16
ALABAMA,Mignon,16
ALABAMA,Millbrook,18
ALABAMA,Millry,16
ALABAMA,Minor,17
ALABAMA,Mobile,17
ALABAMA,Montevallo,19
ALABAMA,Montgomery,21
ALABAMA,Moody,22
ALABAMA,Moores Mill,20
ALABAMA,Mooresville,16
ALABAMA,Morris,16
ALABAMA,Mosses,18
ALABAMA,Moulton,21
ALABAMA,Moundville,17
ALABAMA,Mount Olive,20
ALABAMA,Mount Vernon,19
ALABAMA,Mountain Brook,17
ALABAMA,Movico,21
ALABAMA,Mulga,22
ALABAMA,Munford,19
ALABAMA,Muscle Shoals,22
ALABAMA,Nances Creek,18
ALABAMA,Napier Field,18
ALABAMA,Nauvoo,16
ALABAMA,Nectar,22
ALABAMA,New Brockton,21
ALABAMA,New Hope,20
ALABAMA,New Market,19
ALABAMA,New Site,17
ALABAMA,New Union,21
ALABAMA,Newbern,21
ALABAMA,Newton,18
ALABAMA,Newville,22
ALABAMA,Nixburg,16
ALABAMA,North Courtland,16
ALABAMA,North Johns,19
ALABAMA,Northport,18
ALABAMA,Oak Grove,21
ALABAMA,Oakman,20
ALABAMA,Odenville,18
ALABAMA,Ohatchee,19
ALABAMA,Oneonta,19
ALABAMA,Opelika,18
ALABAMA,Orange Beach,19
ALABAMA,Orrville,18
ALABAMA,Our Town,17
ALABAMA,Owens Cross Roads,18
ALABAMA,Oxford,22
ALABAMA,Ozark,18
ALABAMA,Paint Rock,19
ALABAMA,Parrish,22
ALABAMA,Pea Ridge,19
ALABAMA,Pelham,16
ALABAMA,Pell City,16
ALABAMA,Penton,22
ALABAMA,Perdido,17
ALABAMA,Perdido Beach,16
ALABAMA,Pickensville,18
ALABAMA,Piedmont,19
ALABAMA,Pike Road,16
ALABAMA,Pinckard,16
ALABAMA,Pine Level,17
ALABAMA,Pine Ridge,22
ALABAMA,Pinson,22
ALABAMA,Pisgah,21
ALABAMA,Pleasant Grove,17
ALABAMA,Pleasant Groves,18
ALABAMA,Point Clear,22
ALABAMA,Pollard,19
ALABAMA,Powell,17
ALABAMA,Prattville,16
ALABAMA,Priceville,19
ALABAMA,Prichard,19
ALABAMA,Ragland,16
ALABAMA,Rainbow City,17
ALABAMA,Rainsville,16
ALABAMA,Ray,21
ALABAMA,Redland,19
ALABAMA,Redstone Arsenal,20
ALABAMA,Reece City,20
ALABAMA,Reeltown,18
ALABAMA,Reform,22
ALABAMA,Rehobeth,16
ALABAMA,Remlap,16
ALABAMA,Ridgeville,18
ALABAMA,Riverside,18
ALABAMA,Riverview,18
ALABAMA,Robertsdale,19
ALABAMA,Rock Creek,21
ALABAMA,Rockford,16
ALABAMA,Rogersville,19
ALABAMA,Rosa,18
ALABAMA,Saks,16
ALABAMA,Samson,19
ALABAMA,Saraland,21
ALABAMA,Sardis City,19
ALABAMA,Satsuma,21
ALABAMA,Scottsboro,18
ALABAMA,Section,21
ALABAMA,Selma,16
ALABAMA,Selmont-West Selmont,18
ALABAMA,Semmes,16
ALABAMA,Sheffield,20
ALABAMA,Shelby,17
ALABAMA,Shiloh,21
ALABAMA,Shoal Creek,17
ALABAMA,Silverhill,17
ALABAMA,Sims Chapel,21
ALABAMA,Sipsey,18
ALABAMA,Skyline,20
ALABAMA,Slocomb,16
ALABAMA,Smiths Station,19
ALABAMA,Smoke Rise,16
ALABAMA,Snead,19
ALABAMA,Somerville,16
ALABAMA,South Vinemont,21
ALABAMA,Southside,20
ALABAMA,Spanish Fort,19
ALABAMA,Springville,22
ALABAMA,St. Florian,18
ALABAMA,St. Stephens,16
ALABAMA,Standing Rock,16
ALABAMA,Stapleton,19
ALABAMA,Steele,18
ALABAMA,Sterrett,18
ALABAMA,Stevenson,21
ALABAMA,Stewartville,22
ALABAMA,Stockton,21
ALABAMA,Sumiton,21
ALABAMA,Summerdale,21
ALABAMA,Susan Moore,21
ALABAMA,Sylacauga,21
ALABAMA,Sylvan Springs,20
ALABAMA,Sylvania,18
ALABAMA,Talladega,21
ALABAMA,Talladega Springs,18
ALABAMA,Tallassee,18
ALABAMA,Tarrant,17
ALABAMA,Taylor,20
ALABAMA,Theodore,21
ALABAMA,Thorsby,16
ALABAMA,Tibbie,19
ALABAMA,Tidmore Bend,22
ALABAMA,Tillmans Corner,16
ALABAMA,Town Creek,20
ALABAMA,Trafford,19
ALABAMA,Triana,20
ALABAMA,Trinity,18
ALABAMA,Troy,19
ALABAMA,Trussville,18
ALABAMA,Tuscaloosa,16
ALABAMA,Tuscumbia,16
ALABAMA,Underwood-Petersville,19
ALABAMA,Union,19
ALABAMA,Union Grove,21
ALABAMA,Valley,20
ALABAMA,Valley Grande,21
ALABAMA,Valley Head,20
ALABAMA,Vance,21
ALABAMA,Vandiver,18
ALABAMA,Vestavia Hills,19
ALABAMA,Vincent,16
ALABAMA,Vinegar Bend,20
ALABAMA,Waldo,20
ALABAMA,Walnut Grove,16
ALABAMA,Warrior,21
ALABAMA,Waterloo,20
ALABAMA,Waverly,22
ALABAMA,Weaver,18
ALABAMA,Webb,19
ALABAMA,Weogufka,16
ALABAMA,West Blocton,19
ALABAMA,West End-Cobb Town,22
ALABAMA,West Jefferson,20
ALABAMA,West Point,20
ALABAMA,Westover,22
ALABAMA,Wetumpka,16
ALABAMA,White Hall,18
ALABAMA,White Plains,17
ALABAMA,Whitesboro,16
ALABAMA,Wilsonville,17
ALABAMA,Wilton,22
ALABAMA,Woodstock,21
ALABAMA,Woodville,17
ALASKA,Anchorage,4
ALASKA,Badger,7
ALASKA,Big Lake,3
ALASKA,Buffalo Soapstone,8
ALASKA,Butte,7
ALASKA,Chase,8
ALASKA,Chena Ridge,3
ALASKA,Chickaloon,8
ALASKA,College,4
ALASKA,Eielson Afb,3
ALASKA,Ester,3
ALASKA,Eureka Roadhouse,3
ALASKA,Fairbanks,2
ALASKA,Farm Loop,2
ALASKA,Farmers Loop,2
ALASKA,Fishhook,4
ALASKA,Fox,7
ALASKA,Gateway,8
ALASKA,Glacier View,6
ALASKA,Goldstream,3
ALASKA,Harding-Birch Lakes,8
ALASKA,Houston,3
ALASKA,Juneau,4
ALASKA,Ketchikan,3
ALASKA,Knik River,2
ALASKA,Knik-Fairview,6
ALASKA,Lake Louise,5
ALASKA,Lakes,3
ALASKA,Lazy Mountain,8
ALASKA,Meadow Lakes,2
ALASKA,Moose Creek,5
ALASKA,North Lakes,6
ALASKA,North Pole,5
ALASKA,Palmer,2
ALASKA,Petersville,7
ALASKA,Pleasant Valley,7
ALASKA,Point Mackenzie,5
ALASKA,Salcha,4
ALASKA,Saxman,8
ALASKA,Skwentna,8
ALASKA,South Lakes,5
ALASKA,South Van Horn,3
ALASKA,Steele Creek,3
ALASKA,Susitna,8
ALASKA,Susitna North,8
ALASKA,Sutton-Alpine,7
ALASKA,Talkeetna,4
ALASKA,Tanaina,2
ALASKA,Trapper Creek,3
ALASKA,Two Rivers,8
ALASKA,Wasilla,7
ALASKA,Willow,6
ARIZONA,Aguila,12
ARIZONA,Ajo,8
ARIZONA,Amado,8
ARIZONA,Antares,12
ARIZONA,Anthem,7
ARIZONA,Apache Junction,10
ARIZONA,Arivaca,8
ARIZONA,Arivaca Junction,12
ARIZONA,Arizona City,13
ARIZONA,Arizona Village,12
ARIZONA,Arlington,9
ARIZONA,Ash Fork,10
ARIZONA,Avenue B & C,11
ARIZONA,Avondale,7
ARIZONA,Avra Valley,11
ARIZONA,Bear Flat,10
ARIZONA,Beaver Dam,10
ARIZONA,Beaver Valley,10
ARIZONA,Bellemont,11
ARIZONA,Benson,13
ARIZONA,Beyerville,10
ARIZONA,Bisbee,12
ARIZONA,Black Canyon City,11
ARIZONA,Blue Ridge,10
ARIZONA,Bowie,12
ARIZONA,Buckeye,13
ARIZONA,Buckshot,9
ARIZONA,Bullhead City,13
ARIZONA,Cactus Flats,10
ARIZONA,Cactus Forest,11
ARIZONA,Camp Verde,8
ARIZONA,Campo Bonito,10
ARIZONA,Cane Beds,8
ARIZONA,Carefree,12
ARIZONA,Casa Grande,9
ARIZONA,Casas Adobes,7
ARIZONA,Catalina,13
ARIZONA,Catalina Foothills,9
ARIZONA,Cave Creek,10
ARIZONA,Central,8
ARIZONA,Central Heights-Midland City,13
ARIZONA,Chandler,8
ARIZONA,Chino Valley,11
ARIZONA,Chloride,8
ARIZONA,Christopher Creek,11
ARIZONA,Circle City,12
ARIZONA,Citrus Park,13
ARIZONA,Clacks Canyon,13
ARIZONA,Clarkdale,7
ARIZONA,Clay Springs,10
ARIZONA,Claypool,11
ARIZONA,Colorado City,7
ARIZONA,Congress,8
ARIZONA,Coolidge,8
ARIZONA,Copper Hill,7
ARIZONA,Cordes Lakes,13
ARIZONA,Cornville,8
ARIZONA,Corona De Tucson,12
ARIZONA,Cottonwood,12
ARIZONA,Crozier,7
ARIZONA,Crystal Beach,11
ARIZONA,Dateland,11
ARIZONA,Deer Creek,7
ARIZONA,Desert Hills,11
ARIZONA,Dewey-Humboldt,13
ARIZONA,Dolan Springs,13
ARIZONA,Doney Park,11
ARIZONA,Donovan Estates,12
ARIZONA,Douglas,11
ARIZONA,Dragoon,13
ARIZONA,Drexel Heights,9
ARIZONA,Drysdale,10
ARIZONA,Dudleyville,8
ARIZONA,East Verde Estates,9
ARIZONA,El Capitan,11
ARIZONA,El Mirage,12
ARIZONA,Elfrida,7
ARIZONA,Elgin,11
ARIZONA,Eloy,12
ARIZONA,Flagstaff,10
ARIZONA,Florence,11
ARIZONA,Flowing Springs,13
ARIZONA,Flowing Wells,7
ARIZONA,Forest Lakes,12
ARIZONA,Fort Mohave,12
ARIZONA,Fort Thomas,12
ARIZONA,Fort Valley,10
ARIZONA,Fortuna Foothills,11
ARIZONA,Fountain Hills,10
ARIZONA,Fredonia,8
ARIZONA,Freedom Acres,8
ARIZONA,Gadsden,11
ARIZONA,Geronimo Estates,13
ARIZONA,Gila Bend,10
ARIZONA,Gilbert,7
ARIZONA,Gisela,12
ARIZONA,Glendale,12
ARIZONA,Globe,11
ARIZONA,Gold Canyon,13
ARIZONA,Golden Shores,8
ARIZONA,Golden Valley,8
ARIZONA,Goodyear,12
ARIZONA,Green Valley,11
ARIZONA,Greenehaven,10
ARIZONA,Guadalupe,8
ARIZONA,Hackberry,10
ARIZONA,Haigler Creek,13
ARIZONA,Hayden,8
ARIZONA,Heber-Overgaard,8
ARIZONA,Holbrook,9
ARIZONA,Hondah,8
ARIZONA,Huachuca City,7
ARIZONA,Hunter Creek,11
ARIZONA,Icehouse Canyon,11
ARIZONA,J-Six Ranchettes,10
ARIZONA,Jakes Corner,13
ARIZONA,Jerome,8
ARIZONA,Joseph City,7
ARIZONA,Kachina Village,10
ARIZONA,Kaibab Estates West,9
ARIZONA,Katherine,10
ARIZONA,Kearny,10
ARIZONA,Kingman,8
ARIZONA,Kino Springs,9
ARIZONA,Kleindale,10
ARIZONA,Kohls Ranch,7
ARIZONA,Lake Havasu City,7
ARIZONA,Lake Montezuma,11
ARIZONA,Lake Of The Woods,9
ARIZONA,Lazy Y U,9
ARIZONA,Lechee,11
ARIZONA,Linden,10
ARIZONA,Litchfield Park,9
ARIZONA,Littletown,7
ARIZONA,Mammoth,7
ARIZONA,Marana,8
ARIZONA,Maricopa,9
ARIZONA,Martinez Lake,10
ARIZONA,Mayer,11
ARIZONA,Mcconnico,11
ARIZONA,Mcneal,10
ARIZONA,Mead Ranch,13
ARIZONA,Meadview,12
ARIZONA,Mesa,8
ARIZONA,Mesa Del Caballo,11
ARIZONA,Mescal,9
ARIZONA,Mesquite Creek,8
ARIZONA,Miami,9
ARIZONA,Miracle Valley,13
ARIZONA,Mohave Valley,7
ARIZONA,Mormon Lake,8
ARIZONA,Morristown,11
ARIZONA,Mountain View Ranches,8
ARIZONA,Mountainaire,8
ARIZONA,Munds Park,8
ARIZONA,Naco,12
ARIZONA,Nelson,8
ARIZONA,New Kingman-Butler,9
ARIZONA,New River,7
ARIZONA,Nogales,13
ARIZONA,Oak Creek Canyon,10
ARIZONA,Oatman,8
ARIZONA,Oracle,11
ARIZONA,Orange Grove Mobile Manor,8
ARIZONA,Oro Valley,11
ARIZONA,Oxbow Estates,9
ARIZONA,Padre Ranchitos,11
ARIZONA,Page,10
ARIZONA,Palominas,7
ARIZONA,Paradise Valley,11
ARIZONA,Parks,11
ARIZONA,Patagonia,7
ARIZONA,Paulden,10
ARIZONA,Payson,8
ARIZONA,Peeples Valley,11
ARIZONA,Peoria,7
ARIZONA,Phoenix,9
ARIZONA,Picacho,7
ARIZONA,Picture Rocks,9
ARIZONA,Pima,10
ARIZONA,Pimaco Two,8
ARIZONA,Pinal,7
ARIZONA,Pine,13
ARIZONA,Pine Lake,13
ARIZONA,Pinedale,12
ARIZONA,Pinetop Country Club,11
ARIZONA,Pinetop-Lakeside,10
ARIZONA,Pinion Pines,7
ARIZONA,Pirtleville,13
ARIZONA,Prescott,11
ARIZONA,Prescott Valley,13
ARIZONA,Queen Creek,7
ARIZONA,Queen Valley,9
ARIZONA,Rancho Mesa Verde,7
ARIZONA,Red Lake,12
ARIZONA,Red Rock,7
ARIZONA,Rillito,7
ARIZONA,Rincon Valley,12
ARIZONA,Rio Rico,10
ARIZONA,Rio Verde,7
ARIZONA,Roosevelt Estates,12
ARIZONA,Round Valley,11
ARIZONA,Rye,9
ARIZONA,Saddlebrooke,9
ARIZONA,Safford,7
ARIZONA,Sahuarita,10
ARIZONA,San Jose,10
ARIZONA,San Luis,11
ARIZONA,San Manuel,7
ARIZONA,San Simon,9
ARIZONA,San Tan Valley,10
ARIZONA,Scenic,7
ARIZONA,Scottsdale,13
ARIZONA,Sedona,10
ARIZONA,Seligman,12
ARIZONA,Show Low,13
ARIZONA,Shumway,10
ARIZONA,Sierra Vista,9
ARIZONA,Sierra Vista Southeast,8
ARIZONA,Six Shooter Canyon,13
ARIZONA,Snowflake,11
ARIZONA,So-Highway,11
ARIZONA,Solomon,9
ARIZONA,Somerton,10
ARIZONA,Sonoita,7
ARIZONA,South Tucson,10
ARIZONA,Spring Valley,9
ARIZONA,St. David,11
ARIZONA,Stanfield,10
ARIZONA,Star Valley,11
ARIZONA,Strawberry,13
ARIZONA,Summerhaven,7
ARIZONA,Summit,13
ARIZONA,Sun City,11
ARIZONA,Sun City West,11
ARIZONA,Sun Lakes,8
ARIZONA,Sun Valley,8
ARIZONA,Sunizona,13
ARIZONA,Sunsites,12
ARIZONA,Superior,13
ARIZONA,Surprise,8
ARIZONA,Swift Trail Junction,11
ARIZONA,Tacna,9
ARIZONA,Tanque Verde,13
ARIZONA,Taylor,11
ARIZONA,Tempe,9
ARIZONA,Thatcher,9
ARIZONA,Three Points,8
ARIZONA,Timberline-Fernwood,13
ARIZONA,Tolleson,10
ARIZONA,Tombstone,7
ARIZONA,Tonopah,8
ARIZONA,Tonto Basin,8
ARIZONA,Tonto Village,10
ARIZONA,Top-Of-The-World,7
ARIZONA,Truxton,11
ARIZONA,Tubac,12
ARIZONA,Tucson,13
ARIZONA,Tucson Estates,12
ARIZONA,Tucson Mountains,11
ARIZONA,Tumacacori-Carmen,8
ARIZONA,Vail,7
ARIZONA,Valencia West,8
ARIZONA,Valentine,9
ARIZONA,Valle,8
ARIZONA,Valle Vista,8
ARIZONA,Verde Village,11
ARIZONA,Village Of Oak Creek (Big Park),11
ARIZONA,Wagon Wheel,11
ARIZONA,Wall Lane,12
ARIZONA,Walnut Creek,9
ARIZONA,Washington Park,11
ARIZONA,Wellton,7
ARIZONA,Wellton Hills,12
ARIZONA,Wheatfields,10
ARIZONA,Whetstone,7
ARIZONA,Whispering Pines,13
ARIZONA,White Hills,13
ARIZONA,White Mountain Lake,7
ARIZONA,Why,11
ARIZONA,Wickenburg,10
ARIZONA,Wikieup,10
ARIZONA,Wilhoit,12
ARIZONA,Willcox,10
ARIZONA,Williams,13
ARIZONA,Williamson,9
ARIZONA,Willow Canyon,11
ARIZONA,Willow Valley,10
ARIZONA,Winkelman,12
ARIZONA,Winslow,13
ARIZONA,Winslow West,9
ARIZONA,Wintersburg,8
ARIZONA,Wittmann,8
ARIZONA,Woodruff,9
ARIZONA,Yarnell,13
ARIZONA,Young,12
ARIZONA,Youngtown,9
ARIZONA,Yucca,11
ARIZONA,Yuma,11
ARKANSAS,Adona,16
ARKANSAS,Alexander,18
ARKANSAS,Alix,20
ARKANSAS,Alleene,16
ARKANSAS,Allport,18
ARKANSAS,Alma,18
ARKANSAS,Alpine,19
ARKANSAS,Altheimer,21
ARKANSAS,Altus,15
ARKANSAS,Amity,21
ARKANSAS,Aplin,15
ARKANSAS,Appleton,17
ARKANSAS,Arkadelphia,19
ARKANSAS,Armorel,18
ARKANSAS,Ash Flat,20
ARKANSAS,Ashdown,15
ARKANSAS,Atkins,21
ARKANSAS,Austin,18
ARKANSAS,Avilla,15
ARKANSAS,Avoca,15
ARKANSAS,Bald Knob,15
ARKANSAS,Barling,20
ARKANSAS,Bassett,19
ARKANSAS,Batavia,20
ARKANSAS,Batesville,16
ARKANSAS,Bauxite,18
ARKANSAS,Bay,19
ARKANSAS,Bearden,19
ARKANSAS,Beebe,19
ARKANSAS,Bella Vista,21
ARKANSAS,Bellefonte,19
ARKANSAS,Belleville,20
ARKANSAS,Benton,19
ARKANSAS,Bentonville,17
ARKANSAS,Bergman,18
ARKANSAS,Bethel Heights,19
ARKANSAS,Bethesda,18
ARKANSAS,Big Flat,17
ARKANSAS,Bigelow,17
ARKANSAS,Bismarck,18
ARKANSAS,Black Oak,15
ARKANSAS,Blevins,16
ARKANSAS,Bluff City,21
ARKANSAS,Blytheville,15
ARKANSAS,Bodcaw,15
ARKANSAS,Bonanza,20
ARKANSAS,Bono,21
ARKANSAS,Bowman,21
ARKANSAS,Bradford,15
ARKANSAS,Branch,19
ARKANSAS,Briarcliff,20
ARKANSAS,Brookland,20
ARKANSAS,Bryant,17
ARKANSAS,Buffalo City,21
ARKANSAS,Burdette,15
ARKANSAS,Cabot,17
ARKANSAS,Caddo Valley,18
ARKANSAS,Caldwell,16
ARKANSAS,Calion,20
ARKANSAS,Camden,18
ARKANSAS,Cammack Village,18
ARKANSAS,Canehill,19
ARKANSAS,Caraway,16
ARKANSAS,Carlisle,18
ARKANSAS,Casa,18
ARKANSAS,Cash,16
ARKANSAS,Cave City,16
ARKANSAS,Cave Springs,18
ARKANSAS,Cedarville,16
ARKANSAS,Centerton,18
ARKANSAS,Centerville,18
ARKANSAS,Central City,19
ARKANSAS,Charleston,15
ARKANSAS,Cherokee City,18
ARKANSAS,Cherokee Village,17
ARKANSAS,Chester,20
ARKANSAS,Chidester,21
ARKANSAS,Cincinnati,15
ARKANSAS,Clarkedale,15
ARKANSAS,College Station,15
ARKANSAS,Colt,19
ARKANSAS,Conway,18
ARKANSAS,Corinth,19
ARKANSAS,Cotter,18
ARKANSAS,Coy,19
ARKANSAS,Crawfordsville,19
ARKANSAS,Crystal Springs,20
ARKANSAS,Cushman,17
ARKANSAS,Danville,19
ARKANSAS,Dardanelle,20
ARKANSAS,Decatur,16
ARKANSAS,Deer,17
ARKANSAS,Delaplaine,19
ARKANSAS,Dell,21
ARKANSAS,Denning,15
ARKANSAS,Desha,16
ARKANSAS,Diamond City,16
ARKANSAS,Donaldson,20
ARKANSAS,Dora,16
ARKANSAS,Dover,17
ARKANSAS,Dyer,19
ARKANSAS,Earle,19
ARKANSAS,East Camden,21
ARKANSAS,East End,15
ARKANSAS,Edmondson,20
ARKANSAS,Egypt,15
ARKANSAS,El Dorado,16
ARKANSAS,El Paso,21
ARKANSAS,Elaine,15
ARKANSAS,Elkins,17
ARKANSAS,Elm Springs,19
ARKANSAS,Emerson,16
ARKANSAS,Emmet,21
ARKANSAS,England,15
ARKANSAS,Enola,20
ARKANSAS,Etowah,17
ARKANSAS,Evansville,17
ARKANSAS,Evening Shade,15
ARKANSAS,Everton,19
ARKANSAS,Farmington,15
ARKANSAS,Fayetteville,16
ARKANSAS,Felsenthal,15
ARKANSAS,Fisher,17
ARKANSAS,Floyd,21
ARKANSAS,Foreman,15
ARKANSAS,Forrest City,19
ARKANSAS,Fort Smith,21
ARKANSAS,Fouke,20
ARKANSAS,Fountain Lake,18
ARKANSAS,Fourche,15
ARKANSAS,Friendship,19
ARKANSAS,Fulton,21
